timestamp_s,m1_c,m2_c,m3_c,m4_c,m5_c,m6_c,m7_c,m8_c,m9_c,m10_c,m11_c,m12_c
1777848237.5562,39,41,42,38,39,40,40,41,42,39,40,40
1777848237.7565,39,41,42,38,39,40,40,41,42,39,40,40
1777848237.9569,39,41,42,39,39,40,40,41,42,39,40,40
1777848238.1575,39,41,42,38,39,40,40,41,42,39,40,40
1777848238.3579,39,41,42,38,39,40,40,41,42,39,40,40
1777848238.5584,40,41,42,38,39,40,40,41,42,39,40,40
1777848238.7590,39,41,42,39,39,40,40,41,42,39,40,40
1777848238.9593,40,41,42,39,39,40,40,41,42,39,40,41
1777848239.1612,40,41,42,39,39,40,40,41,42,39,40,40
1777848239.3615,39,41,42,39,39,40,40,41,42,39,40,41
1777848239.5618,39,41,42,39,39,40,40,41,42,39,40,41
1777848239.7622,39,41,42,39,39,40,40,41,42,39,40,40
1777848239.9625,39,41,42,39,39,40,40,41,42,39,40,41
1777848240.1628,39,41,42,39,39,40,40,41,42,39,40,41
1777848240.3631,39,41,42,39,39,40,40,41,42,39,40,41
1777848240.5634,39,41,42,39,39,40,40,41,42,39,40,41
1777848240.7636,39,41,42,39,39,40,40,41,42,40,40,41
1777848240.9640,39,41,42,39,39,40,40,41,42,39,40,41
1777848241.1643,39,41,42,39,39,40,40,41,42,40,40,41
1777848241.3646,39,41,42,39,39,40,40,41,42,40,40,41
1777848241.5648,39,41,42,39,39,40,40,41,42,40,40,41
1777848241.7651,39,41,42,39,39,40,40,41,42,40,40,41
1777848241.9658,39,41,42,39,39,40,40,41,42,39,40,41
1777848242.1665,39,41,42,39,39,40,40,41,42,40,40,41
1777848242.3668,39,41,42,39,39,40,40,41,42,40,40,41
1777848242.5675,39,41,42,39,39,40,40,41,42,40,40,41
1777848242.7678,39,41,42,39,39,40,40,41,42,40,40,41
1777848242.9681,40,41,42,39,39,40,40,41,43,40,40,41
1777848243.1684,39,41,42,39,39,40,40,41,42,40,40,41
1777848243.3689,39,41,42,39,39,40,40,41,42,40,40,41
1777848243.5692,40,41,42,39,39,40,40,41,43,40,40,41
1777848243.7696,40,41,42,39,39,40,40,41,43,40,40,41
1777848243.9701,40,41,42,39,39,40,40,41,43,40,40,41
1777848244.1704,39,41,42,39,39,40,40,41,43,39,40,41
1777848244.3706,40,41,42,39,39,40,40,41,43,40,40,41
1777848244.5709,40,41,42,39,39,40,40,41,43,40,40,41
1777848244.7711,40,41,43,39,39,40,40,41,43,40,40,41
1777848244.9716,40,41,43,39,39,40,40,41,43,40,40,41
1777848245.1719,40,41,43,39,39,40,40,41,43,40,40,41
1777848245.3721,40,41,42,39,39,40,40,41,43,40,40,41
1777848245.5724,40,41,43,39,39,40,40,41,43,40,40,41
